Beach,Image,Results,Seal Conf Lvl,Clump Conf Lvl,Overlap,Clump Threshold,Ground Truth,Median Prop Diff
LN,DJI_0786,1.0,38,30,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,30,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,32,20,5,3,0.0
LN,DJI_0786,3.0,30,32,20,6,3,0.0
LN,DJI_0786,3.0,32,32,20,5,3,0.0
LN,DJI_0786,3.0,32,32,20,6,3,0.0
LN,DJI_0786,3.0,34,32,20,5,3,0.0
LN,DJI_0786,3.0,34,32,20,6,3,0.0
LN,DJI_0786,2.0,36,32,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,32,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,32,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,32,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,32,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,34,20,5,3,0.0
LN,DJI_0786,3.0,30,34,20,6,3,0.0
LN,DJI_0786,3.0,32,34,20,5,3,0.0
LN,DJI_0786,3.0,32,34,20,6,3,0.0
LN,DJI_0786,3.0,34,34,20,5,3,0.0
LN,DJI_0786,3.0,34,34,20,6,3,0.0
LN,DJI_0786,2.0,36,34,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,34,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,34,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,38,34,20,6,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,20,5,3,0.6666666666666666
LN,DJI_0786,1.0,40,34,20,6,3,0.6666666666666666
LN,DJI_0786,3.0,30,36,20,5,3,0.0
LN,DJI_0786,3.0,30,36,20,6,3,0.0
LN,DJI_0786,3.0,32,36,20,5,3,0.0
LN,DJI_0786,3.0,32,36,20,6,3,0.0
LN,DJI_0786,3.0,34,36,20,5,3,0.0
LN,DJI_0786,3.0,34,36,20,6,3,0.0
LN,DJI_0786,2.0,36,36,20,5,3,0.3333333333333333
LN,DJI_0786,2.0,36,36,20,6,3,0.3333333333333333
LN,DJI_0786,1.0,38,36,20,5,3,0.6666666666666666
